,0
0,1
1,1
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,1
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,0
56,1
57,1
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,1
67,1
68,1
69,0
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,1
78,0
79,0
80,0
81,1
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,1
98,1
99,1
100,0
101,0
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,1
114,1
115,0
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,0
164,1
165,0
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,0
177,0
178,0
179,0
180,1
181,1
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,1
245,1
246,0
247,1
248,0
249,1
250,0
251,0
252,1
253,1
254,0
255,1
256,1
257,0
258,1
259,1
260,0
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,1
269,1
270,0
271,1
272,1
273,0
274,1
275,0
276,1
277,1
278,1
279,0
280,1
281,0
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,0
290,0
291,1
292,1
293,0
294,1
295,0
296,0
297,1
298,1
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,0
312,0
313,0
314,1
315,0
316,0
317,1
318,1
319,0
320,0
321,1
322,1
323,1
324,0
325,0
326,1
327,1
328,0
329,0
330,0
331,0
332,1
333,1
334,1
335,0
336,1
337,1
338,1
339,1
340,0
341,0
342,0
343,1
344,1
345,0
346,1
347,0
348,1
349,1
350,1
351,1
352,0
353,1
354,1
355,0
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,0
364,0
365,1
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,0
379,1
380,0
381,1
382,0
383,0
384,0
385,0
386,1
387,1
388,0
389,0
390,1
391,0
392,1
393,1
394,0
395,0
396,0
397,1
398,0
399,0
400,1
401,1
402,0
403,0
404,1
405,0
406,0
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,0
418,0
419,0
420,1
421,1
422,0
423,1
424,1
425,1
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,1
435,0
436,0
437,0
438,1
439,0
440,1
441,1
442,1
443,1
444,0
445,1
446,0
447,1
448,0
449,0
450,1
451,1
452,0
453,1
454,1
455,0
456,0
457,1
458,1
459,1
460,0
461,1
462,1
463,0
464,0
465,1
466,1
467,0
468,0
469,1
470,1
471,0
472,1
473,1
474,0
475,1
476,0
477,1
478,1
479,0
480,0
481,1
482,0
483,0
484,0
485,1
486,1
487,0
488,0
489,1
490,0
491,1
492,1
493,1
494,0
495,0
496,0
497,1
498,1
499,1
500,0
501,0
502,1
503,0
504,1
505,1
506,1
507,0
508,1
509,0
510,0
511,1
512,1
513,0
514,1
515,0
516,1
517,0
518,0
519,0
520,0
521,1
522,0
523,0
524,0
525,1
526,0
527,0
528,1
529,0
530,1
531,0
532,1
533,0
534,1
535,1
536,0
537,0
538,1
539,0
540,0
541,0
542,1
543,0
544,0
545,0
546,0
547,1
548,1
549,0
550,0
551,1
552,1
553,1
554,0
555,0
556,1
557,0
558,1
559,1
560,1
561,1
562,0
563,0
564,1
565,1
566,1
567,0
568,1
569,0
570,0
571,1
572,0
573,0
574,1
575,0
576,1
577,1
578,0
579,0
580,0
581,1
582,0
583,0
584,0
585,0
586,0
587,0
588,1
589,0
590,0
591,0
592,1
593,0
594,1
595,1
596,1
597,0
598,0
599,1
600,0
601,0
602,1
603,1
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,0
612,1
613,0
614,1
615,0
616,1
617,0
618,1
619,0
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,0
628,0
629,0
630,0
631,1
632,0
633,1
634,1
635,0
636,0
637,1
638,1
639,1
640,0
641,0
642,1
643,0
644,1
645,0
646,0
647,1
648,1
649,0
650,1
651,0
652,1
653,1
654,1
655,0
656,1
657,0
658,0
659,0
660,0
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,0
671,1
672,0
673,0
674,1
675,1
676,0
677,1
678,1
679,1
680,1
681,0
682,0
683,0
684,0
685,0
686,1
687,0
688,1
689,1
690,0
691,0
692,0
693,0
694,1
695,1
696,1
697,0
698,1
699,0
700,0
701,0
702,1
703,0
704,1
705,1
706,0
707,1
708,1
709,1
710,1
711,0
712,0
713,0
714,1
715,1
716,1
717,1
718,0
719,1
720,1
721,0
722,0
723,0
724,0
725,1
726,1
727,0
728,1
729,1
730,0
731,1
732,0
733,0
734,1
735,1
736,1
737,0
738,1
739,0
740,1
741,0
742,1
743,0
744,0
745,1
746,0
747,1
748,1
749,0
750,1
751,1
752,1
753,0
754,0
755,1
756,1
757,0
758,0
759,0
760,1
761,0
762,1
763,0
764,0
765,1
766,0
767,1
768,1
769,0
770,1
771,1
772,0
773,1
774,0
775,0
776,0
777,0
778,0
779,1
780,1
781,1
782,0
783,0
784,1
785,0
786,0
787,1
788,0
789,0
790,0
791,0
792,0
793,1
794,1
795,1
796,0
797,0
798,1
799,0
800,1
801,0
802,1
803,0
804,0
805,0
806,1
807,1
808,1
809,1
810,0
811,1
812,0
